0C7F	0C7F	00
0C80	0C80	10
0C81	0C81	01
0C82	0C84	00
0C85	0C8C	10
0C8D	0C8D	00
0C8E	0C90	10
0C91	0C91	00
0C92	0CA8	10
0CA9	0CA9	00
0CAA	0CB3	10
0CB4	0CB4	00
0CB5	0CB9	10
0CBA	0CBB	00
0CBC	0CBC	01
0CBD	0CBD	10
0CBE	0CBE	00
0CBF	0CBF	01
0CC0	0CC5	00
0CC6	0CC6	01
0CC7	0CCB	00
0CCC	0CCD	01
0CCE	0CDD	00
0CDE	0CDE	10
0CDF	0CDF	00
0CE0	0CE1	10
0CE2	0CE3	01
0CE4	0CE5	00
0CE6	0CEF	02
0CF0	0CF0	00
0CF1	0CF2	10
0CF3	0CFF	00
0D00	0D01	01
0D02	0D03	00
0D04	0D0C	10
0D0D	0D0D	00
0D0E	0D10	10
0D11	0D11	00
0D12	0D3A	10
0D3B	0D3C	01
0D3D	0D3D	10
0D3E	0D40	00
0D41	0D44	01
0D45	0D4C	00
0D4D	0D4D	01
0D4E	0D4E	10
0D4F	0D53	00
0D54	0D56	10
0D57	0D57	00
0D58	0D5E	08
0D5F	0D61	10
0D62	0D63	01
0D64	0D65	00
0D66	0D6F	02
0D70	0D78	08
0D79	0D79	00
0D7A	0D7F	10
0D80	0D80	00
0D81	0D81	01
0D82	0D84	00
0D85	0D96	10
0D97	0D99	00
0D9A	0DB1	10
0DB2	0DB2	00
0DB3	0DBB	10
0DBC	0DBC	00
0DBD	0DBD	10
0DBE	0DBF	00
0DC0	0DC6	10
0DC7	0DC9	00
0DCA	0DCA	01
0DCB	0DD1	00
0DD2	0DD4	01
0DD5	0DD5	00
0DD6	0DD6	01
0DD7	0DE5	00
0DE6	0DEF	02
0DF0	0E00	00
0E01	0E30	10
0E31	0E31	01
0E32	0E33	10
0E34	0E3A	01
0E3B	0E3F	00
0E40	0E45	10
0E46	0E46	20
0E47	0E4E	01
0E4F	0E4F	00
0E50	0E59	02
0E5A	0E80	00
0E81	0E82	10
0E83	0E83	00
0E84	0E84	10
0E85	0E85	00
0E86	0E8A	10
0E8B	0E8B	00
0E8C	0EA3	10
0EA4	0EA4	00
0EA5	0EA5	10
0EA6	0EA6	00
0EA7	0EB0	10
0EB1	0EB1	01
0EB2	0EB3	10
0EB4	0EBC	01
0EBD	0EBD	10
0EBE	0EBF	00
0EC0	0EC4	10
0EC5	0EC5	00
0EC6	0EC6	20
0EC7	0EC7	00
0EC8	0ECD	01
0ECE	0ECF	00
0ED0	0ED9	02
0EDA	0EDB	00
0EDC	0EDF	10
0EE0	0EFF	00
0F00	0F00	10
0F01	0F17	00
0F18	0F19	01
